Station,Year,Month,Day,MeanTemp,NTempObs,DewPoint,NDewPointObs,SeaLevelPressure,NSeaLevPressObs,StationPressure,NStatPressObs,Visibility,NVisibilityObs,MeanWindSpeed,NWindObs,MaxSustWindSpeed,MaxWindGust,MaxTemp,MaxTempSource,MinTemp,MinTempSource,PrecipAmount,NPrecipReportHours,PrecipFlag,SnowDepth,Fog,Rain,Snow,Hail,Thunder,Tornado
phoenix-sky-harbor,2006,2,1,57.4,24,29.8,24,1015.1,24,975.9,24,10,24,5.2,24,8,NULL,71.1,explicit,46,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,2,59,24,27.8,24,1013.8,24,974.7,24,10,24,5.3,24,9.9,NULL,75,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,3,61.5,24,28.9,24,1014.4,24,975.4,24,10,24,3.4,24,9.9,NULL,77,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,4,63.4,24,27.2,24,1016.1,24,977.1,24,10,24,3.8,24,7,NULL,80.1,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,5,63.3,24,23.9,24,1012.5,24,973.7,24,10,24,3.5,24,7,NULL,80.1,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,6,61,24,14.9,24,1019.4,24,980.2,24,10,24,5.1,24,17.9,19.8,75.9,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,7,65.9,24,3.2,24,1020,24,981,24,10,24,7.4,24,15,NULL,81,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,8,68.5,24,4.7,24,1016.4,24,977.6,24,10,24,5.3,24,14,NULL,84.9,explicit,53.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,9,69.1,24,8.3,24,1012.5,24,973.8,24,10,24,4.5,24,15,22.7,84.9,explicit,53.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,10,62,24,38.6,24,1016.2,24,977.2,24,10,24,4.7,24,8.9,NULL,79,explicit,48.9,explicit,0,24,G,NULL,0,0,0,0,0,0
